wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,3,0,4,17,9,1,2,6,0.740720861,82,1.0,0,0.921460774,0.646400134,0,0,19.110791501,1,0.6382,0
10,3,0,9,37,30,1,8,7,0.620596713,379,0.968858194,1,0.822080822,0.308966482,1,0,22.921021245,2,1.0335,0
7,5,0,11,28,5,0,11,4,0.771712571,151,0.920646236,2,0.898244898,0.429391468,3,6,15.253614002,3,1.3946,0
2,2,11,4,13,8,0,3,3,0.033763847,47,1.0,0,0.489188451,0.656548381,1,0,23.454756866,2,0.5889,0
18,1,0,8,48,22,14,8,15,0.834749843,285,0.991441862,1,0.012680973,0.279931888,0,0,12.333422817,16,2.3747,1
5,1,5,10,13,1,3,1,7,0.743605842,51,1.0,0,0.0,0.670505923,0,0,5.227069693,5,1.2497,0
17,3,0,3,40,85,132,2,12,0.783077693,281,0.751652496,1,0.685714187,0.134780606,2,1,27.691598994,3,1.0099,0
65,3,0,104,178,733,98,9,59,0.959866827,648,0.977749255,0,0.712122877,0.126548647,3,3,20.708252374,18,1.541,2
11,2,4,9,15,12,5,3,11,0.669900415,107,0.971896448,3,0.100907424,0.270750056,0,0,9.985237908,2,0.7656,2
13,1,0,4,47,39,1,11,21,0.670221128,199,1.0,0,0.951348575,0.3184076,0,3,10.60777324,7,1.4967,0
11,3,0,12,72,21,0,10,9,0.662514449,418,0.988578258,2,0.906219861,0.32877412,1,4,20.185430259,5,1.7124,0
0,1,0,0,2,8,3,1,2,2.0,85,0.0,0,0.83545975,0.54871916,0,0,23.021742183,1,3.6757,0
4,4,2,7,44,4,0,6,0,0.559980085,288,0.933135533,0,0.732838747,0.414197878,1,5,37.088024665,11,4.9387,0
4,3,1,6,32,1,1,4,4,0.746454702,140,1.0,0,0.841475112,0.642042156,1,5,53.229952815,1,0.7204,0
4,1,0,5,9,25,6,0,1,2.0,13,0.109273284,0,0.132501893,0.534456466,0,2,1.18691031,1,1.2611,0
9,1,1,11,25,20,1,2,7,0.620866707,73,1.0,0,0.009351376,0.240221857,0,0,8.195820825,1,0.7085,2
16,3,0,19,80,4,21,13,18,0.726603647,404,0.935571917,2,0.055920746,0.147725955,1,3,27.236784628,3,1.8823,0
16,1,0,2,36,77,0,2,16,0.682335621,462,0.687197415,1,0.585573015,0.297996366,0,2,20.002650801,2,1.4556,0
11,3,0,6,25,13,5,2,8,0.723679945,145,1.0,1,0.042979525,0.293431405,0,0,17.429522492,2,1.3196,0
15,3,0,3,30,47,0,1,14,0.894831664,266,0.975019889,0,0.180957634,0.607840492,0,3,26.456363325,8,1.4184,0
19,3,1,1,66,246,2,8,32,0.78274677,1072,1.0,2,0.559135851,0.215606706,1,0,30.550223805,3,1.261,0
8,1,0,6,35,0,4,5,7,0.912399126,148,1.0,1,0.047440083,0.379911159,0,0,22.257566932,9,1.6575,0
14,3,0,10,57,61,0,10,14,0.887537153,459,1.0,0,0.899610495,0.386269521,1,3,7.031823735,11,1.3795,0
4,3,0,3,19,0,1,4,4,0.919451401,102,0.984904082,0,0.880615302,0.690308891,1,6,48.33251048,2,1.0035,0
4,1,0,3,4,7,3,4,3,1.972605419,40,0.0,0,0.0,0.843919022,0,0,13.323165504,1,0.6575,0
12,1,0,1,21,1,1,2,5,0.488296831,71,1.0,1,0.0,0.41294714,1,0,10.044063036,5,1.6247,0
16,4,0,8,67,180,0,15,14,0.782956509,745,0.949922097,2,0.663937637,0.211893191,1,1,28.439715217,4,1.1971,0
16,1,0,23,62,176,19,4,16,0.818518865,320,0.886298118,0,0.472039077,0.330937691,0,0,30.013943364,16,2.274,1
7,1,1,4,20,40,4,4,5,0.775996908,71,0.977287181,0,0.343011597,0.786001198,0,1,5.065795749,2,1.2011,0
9,1,0,8,15,13,12,1,4,0.46149033,150,1.0,2,0.0,0.246786113,0,0,8.386915702,1,0.7032,0
10,3,0,2,39,6,3,7,4,0.739888635,396,0.984036037,0,0.849535564,0.392856218,0,0,48.811085666,2,1.2993,0
