wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
14,0,1,5,35,27,1,2,1,0.745537155,186,0.977255194,3,0.544392563,0.324788237,1,2,12.516041612,5,1.2086,1
4,1,0,7,7,1,2,2,4,0.361597435,32,0.007944667,0,0.002306645,0.400827294,0,0,2.632138543,1,0.75,0
1,1,0,9,1,0,9,0,1,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
13,1,1,17,46,12,5,3,24,0.596353739,207,1.0,0,0.218000097,0.119675928,0,0,14.354551601,2,0.9758,1
166,1,0,3,133,20965,1,78,51,0.880967469,2044,0.946087923,1,0.000855867,0.047113478,0,0,11.649775891,33,1.2136,4
1,1,0,5,1,0,4,1,1,2.0,1,0.0,0,3.0065e-05,0.994682102,0,0,2.4474e-05,1,1.0,0
4,2,0,4,7,6,3,2,2,0.868417602,55,0.328183827,3,0.874904667,0.435932113,1,1,16.383351025,1,0.4884,0
5,0,0,8,27,22,1,12,6,2.0,103,0.0,0,0.0,0.371657661,0,0,16.630215573,4,1.3266,0
3,1,0,4,7,0,1,4,2,0.0,24,1.0,1,0.45783364,0.722226767,0,0,7.992387646,1,0.6885,1
4,1,0,14,4,6,5,2,4,2.0,3,0.0,0,0.0,0.768222912,0,0,0.0,1,1.0,3
21,2,0,14,26,179,8,7,16,0.852497842,111,1.0,1,0.663213298,0.210193878,1,3,6.559653056,1,0.7882,0
12,3,0,24,71,12,2,41,5,0.837569266,386,0.641682127,1,0.773086415,0.358800707,0,1,31.061720806,2,1.768,0
3,5,0,2,6,3,1,1,3,2.0,17,0.015164814,0,1.0,0.780798055,0,0,4.364949451,0,0.0,0
4,2,0,8,19,1,0,9,1,0.575592238,46,1.0,0,0.636425301,0.520383519,1,2,13.280978878,3,0.6595,0
7,1,0,1,10,0,1,1,6,0.359936022,70,0.756336222,0,0.0,0.329315996,0,0,5.08100173,1,0.7852,0
5,3,0,7,14,5,6,7,3,1.986917378,64,0.0,0,0.798479213,0.536571279,0,0,13.521398999,2,0.9891,1
6,2,0,15,19,15,2,7,4,2.0,78,0.025187117,0,0.736459066,0.459552194,1,2,12.703684623,2,1.0951,0
14,1,0,19,56,90,3,15,11,0.836194448,268,1.0,1,0.0,0.164474939,0,0,8.310717994,3,1.5626,0
4,2,0,12,20,5,7,6,2,0.625570693,62,1.0,1,0.965003611,0.47250279,0,0,12.270149325,1,0.4164,0
5,2,0,7,16,23,1,5,7,0.668477751,52,0.933732644,0,0.004419559,0.34775044,0,0,11.686499162,1,0.676,0
3,2,0,4,5,3,1,1,3,2.0,27,0.000163291,0,0.919485829,0.665772028,1,2,7.345836478,1,0.3345,0
12,1,2,4,17,5,1,7,7,0.694900816,47,1.0,3,0.164078877,0.295595126,0,0,7.42230065,2,1.0,0
6,1,4,7,8,7,5,0,5,0.488924084,32,0.919051292,0,0.0,0.482875046,0,0,1.504674315,1,0.6667,0
5,1,0,2,34,18,2,0,7,0.605236367,102,1.0,0,0.000406769,0.245581831,0,0,11.716718562,2,0.8624,0
5,3,0,6,16,10,4,3,4,0.635593559,58,1.0,1,0.937446214,0.486295969,0,0,11.695953856,1,0.518,0
1,1,0,6,1,0,4,2,1,2.0,1,0.0,0,2.005e-06,1.0,0,0,3.3919e-05,1,1.0,0
3,2,0,1,5,3,0,1,3,2.0,12,0.0,0,0.956521739,0.666666667,1,2,3.0,1,0.3333,0
4,1,0,5,12,5,0,3,1,2.0,15,0.0,0,0.0,0.457290001,0,0,15.011429279,1,0.5,0
7,3,0,12,20,17,1,10,5,0.768046712,80,0.998281259,1,0.854654538,0.320812299,1,1,13.973348959,1,0.7094,0
1,1,0,0,2,0,1,0,1,2.0,12,0.0,0,0.0,1.0,0,0,3.281149686,0,0.0,0
9,3,0,9,22,0,5,9,1,0.744664437,88,1.0,2,0.822055922,0.337507177,1,1,10.68192896,1,0.7832,0
9,3,0,4,12,41,1,4,10,0.165812242,67,0.999358796,0,0.84453758,0.56783314,2,5,6.055764724,1,0.8174,0
48,1,0,14,84,545,1,5,49,0.842820144,660,0.845962767,0,0.0,0.193696736,0,0,13.050123729,1,0.8922,0
14,1,0,4,25,10037,3,3,10,0.230134231,131,0.965164698,1,0.0,0.301841814,0,0,5.645489915,33,1.2652,0
3,4,0,8,14,10,2,8,1,2.0,41,0.0,0,0.952567198,0.433986013,2,3,15.99407896,1,0.6774,0
1,1,0,0,1,0,0,0,1,1.999995442,1,0.000728125,0,3.158e-06,0.999999723,0,0,0.0,1,1.0,0
13,0,0,17,50,37,1,16,12,0.84210674,187,0.967181507,2,0.0,0.24625721,0,0,23.174129321,3,1.1545,0
2,1,0,45,1,24,42,0,7,2.0,4,0.0,0,1.2058e-05,0.14269122,0,0,0.510322762,5,0.0052,1
1,1,0,2,3,0,1,0,1,1.99999895,4,0.0,0,0.001992287,1.0,0,0,2.891521701,0,0.0,0
5,3,0,9,33,9,2,10,4,2.0,111,0.0,0,0.670290347,0.580741518,0,0,24.363997255,7,1.4585,2
2,4,0,6,7,0,0,1,2,0.0,24,1.0,0,0.967598898,0.782334623,0,0,10.691211522,1,0.4896,0
5,2,0,2,10,3,3,0,5,0.645098155,36,0.986825686,1,0.400485796,0.402506367,0,0,5.645582112,1,0.8101,0
