wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3,1,0,7,3,13,2,1,1,1.993688089,24,0.0,0,0.377861327,0.951397088,0,1,1.215839597,1,1.0,0
20,1,2,34,28,167,34,4,20,0.767770541,87,0.971047094,3,0.0,0.227155991,1,0,4.956259925,2,0.866,0
35,1,0,18,82,267,0,0,22,0.875595411,479,1.0,1,0.722622533,0.348647675,2,0,9.162300733,1,0.7031,0
11,1,0,26,14,43,30,2,10,0.815592857,91,0.871959693,1,0.035783229,0.217262312,1,0,12.143946542,5,0.9646,0
6,3,2,3,9,2,2,3,7,0.917647048,128,0.973076323,0,0.899039415,0.34131212,0,0,6.078461319,1,0.6739,0
11,2,0,13,8,25,6,5,12,0.871358489,20,1.0,1,0.254813658,0.308898886,0,0,5.342530355,1,0.8187,0
26,1,2,4,24,193,4,2,13,1.074971159,181,0.995275733,1,0.016786041,0.211327324,0,0,8.490120905,2,0.941,0
30,1,0,24,78,338,2,15,21,0.771533243,509,0.880659661,0,0.824106507,0.137403732,0,0,17.155991745,5,1.938,0
7,1,0,33,7,9,52,3,8,2.0,14,0.0,0,0.0,0.672044322,0,0,4.634006545,1,1.0,0
6,1,0,27,4,4,26,2,6,2.0,7,0.0,0,0.00220642,0.542597039,0,0,0.602758119,1,0.9843,0
6,2,0,3,3,2,1,2,3,2.0,49,0.0,0,0.892849781,0.887326095,2,1,4.950750259,1,0.7394,0
5,1,0,2,12,3,3,1,6,1.695952504,20,0.023843059,0,0.0,0.546821057,0,0,22.767109255,2,0.9841,0
5,1,0,22,68,1,2,30,2,0.017553339,357,1.0,1,0.0625,0.606610887,0,0,205.185766907,1,1.6758,0
10,1,3,2,20,27,3,1,10,0.936510567,76,0.847538978,1,0.0,0.622239999,0,0,12.579445773,2,0.9218,0
11,2,0,12,19,18,7,1,15,0.238249603,78,1.0,1,0.002941196,0.246164459,0,0,3.715165893,1,0.9061,0
6,1,0,6,26,12,5,1,5,0.757510761,89,1.0,0,0.0,0.702088595,0,0,13.471056022,1,0.7505,0
6,2,0,6,32,14,1,6,5,0.010105964,237,0.986200776,0,0.663552565,0.313462579,1,1,24.940496464,5,2.1621,0
2,1,0,9,8,6,3,1,5,0.900480312,23,0.0,1,0.0,0.662545988,0,0,2.651960115,4,0.5116,0
2,1,0,4,6,0,0,0,3,0.574543687,36,1.0,1,0.016325471,0.583393797,0,2,5.958684278,1,0.8021,0
18,3,0,12,78,335,6,9,24,0.724723223,802,0.944553205,0,0.890735812,0.374241498,0,0,25.675800413,5,2.6366,1
5,2,1,5,38,0,2,5,3,0.504596228,301,1.0,2,0.399409496,0.250509924,0,0,28.219270046,6,1.6474,0
6,1,0,3,6,1,0,1,4,0.450132435,22,1.0,0,0.0,0.570219778,0,0,1.010202507,1,0.9721,0
4,1,0,4,9,0,1,2,2,0.648231761,57,0.714512054,0,0.0,0.705109879,0,0,23.917325691,1,1.0051,0
13,2,0,4,10,52,6,5,8,0.755451171,95,1.0,1,0.015501644,0.297553737,1,0,5.42612799,2,0.8437,0
13,1,0,25,11,30,4,13,9,2.0,44,0.041041412,0,0.007160296,0.236840667,0,1,0.0,3,0.9924,0
12,2,0,19,35,27,9,4,12,0.971990543,128,0.977686001,1,0.328525601,0.247161216,1,1,13.332081091,6,1.3472,2
11,1,0,4,2,23,1,1,10,1.259264526,25,1.0,0,0.0,0.641578741,0,0,1.041461991,2,0.6112,0
11,1,0,4,14,5,5,0,6,0.51288962,82,1.0,0,0.0,0.515636022,0,0,16.160210608,3,1.1252,0
9,1,0,6,36,36,5,0,10,1.99152642,144,0.078046904,0,0.012901452,0.270312783,1,0,14.478484238,5,2.539,0
11,1,0,2,12,14,2,0,9,0.527631099,65,0.502267932,0,0.0,0.495675276,0,0,6.856968903,2,0.902,0
31,1,0,39,77,390,32,9,32,0.86678834,520,0.0,1,0.052444843,0.161729666,0,0,31.458293352,5,1.2748,3
15,5,0,4,26,57,0,0,10,0.790767174,63,0.948155522,0,0.861220034,0.367019077,2,2,13.514497818,1,0.8733,0
7,1,0,7,19,11,1,3,3,0.614828788,54,1.0,1,0.0,0.502808081,0,0,13.922533927,3,1.3144,0
10,1,0,2,9,17,1,4,6,0.995176386,31,1.0,2,0.0,0.506810645,0,0,5.35850728,1,0.6924,0
3,1,0,5,4,0,1,2,2,0.880403402,19,0.666666667,0,0.0,0.643228488,0,0,11.139225009,1,0.7195,0
2,2,2,8,3,5,2,3,1,0.318390763,38,1.0,0,0.734803847,0.620411517,0,2,4.222673604,1,0.4926,0
10,1,0,26,38,27,17,5,9,0.759290567,172,1.0,0,0.0,0.299713812,1,0,15.13098003,6,2.0,0
21,6,0,18,73,196,4,2,14,0.811858032,443,1.0,0,0.85550324,0.189557561,1,0,35.269521487,7,1.5284,1
12,1,3,7,26,28,4,3,4,0.838288424,176,0.988612786,1,0.004174291,0.247967977,0,0,6.441753083,3,1.3084,0
2,2,0,7,13,2,9,3,1,0.562024868,22,1.0,0,0.856422817,0.675793253,1,2,3.802741203,1,0.6741,0
10,2,0,6,48,16,2,9,2,0.507247213,220,1.0,0,0.265282333,0.275482857,0,0,14.345161018,6,1.9323,0
4,6,0,6,23,6,3,0,4,2.0,45,0.013322401,0,0.983387863,0.875558056,1,0,8.951501085,3,1.0651,0
13,1,0,11,37,42,1,3,12,0.502382559,215,1.0,2,0.480448483,0.313302464,0,0,10.426901682,6,1.8177,0
28,1,0,39,84,222,7,17,30,0.931704125,414,1.0,1,0.0,0.331666499,0,0,11.324715822,3,1.2979,0
5,1,0,4,7,1,2,2,5,2.0,47,0.0,0,0.07959614,0.633828785,0,0,50.902801797,10,5.0577,0
1,1,0,1,9,0,8,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
12,2,0,10,38,19,8,4,8,0.071766041,360,0.99163838,0,0.496173034,0.498910667,1,1,57.959065835,2,0.7797,1
25,6,0,4,31,139,0,0,19,0.642643023,200,0.974200731,1,0.0,0.275269507,0,4,5.27742131,1,0.9623,0
9,2,0,3,37,11,1,5,5,0.607698521,136,1.0,0,0.523457266,0.417480842,0,0,24.951563027,6,1.833,0
23,2,0,5,39,219,3,6,13,0.930411033,378,1.0,1,0.365925096,0.377140413,0,0,26.535483014,4,1.4538,0
6,1,0,22,5,8,22,1,6,2.0,6,0.0,0,0.0,0.343248539,0,0,0.008998675,2,0.9023,0
7,1,0,3,5,1,5,2,4,0.366372311,65,0.447487772,1,0.0,0.509148635,0,0,16.196323426,1,0.7896,0
99,3,0,86,253,2822,4,43,146,0.967363046,1131,0.782014176,4,0.54772163,0.121487974,0,0,30.424024046,6,2.2368,0
14,1,0,6,19,50,1,4,14,0.433010526,88,0.990427665,1,0.0,0.270417417,0,2,9.351868452,1,0.9218,0
4,3,0,6,7,2,1,2,1,1.998620121,5,0.400180283,0,0.946518206,0.576835957,0,0,2.624247132,0,0.4714,0
4,3,0,5,8,3,3,4,2,0.85086925,63,1.0,0,0.537485341,0.346346708,0,0,5.501354382,1,1.3732,0
12,1,0,7,24,17,3,3,10,0.461883756,68,1.0,0,0.131119174,0.742617171,0,0,8.499121895,1,1.003,0
2,1,0,34,3,1,22,1,5,2.0,4,0.015039016,0,0.0,0.978108862,0,0,1.516297466,1,1.0,0
10,1,0,8,6,5,4,4,9,0.799166044,18,0.805741995,1,0.321623424,0.435284603,0,0,0.760224752,2,0.9291,0
4,1,0,5,16,56,4,0,3,1.985973879,160,0.174933976,0,0.0,0.469814892,0,0,80.393775471,10,4.8523,0
3,1,0,4,23,1,8,3,3,0.219905921,6,1.0,0,0.0,0.551098181,0,0,59.932885813,1,1.0046,0
5,4,0,2,3,4,1,1,3,0.405259535,33,1.0,2,0.496687238,0.33355687,0,0,5.906886983,1,0.3978,0
