wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
10,2,18,12,59,6,26,4,6,0.147381781,1272,0.366150923,0,0.006228305,0.348565403,0,0,228.333928505,47,10.5061,0
10,1,0,10,33,31,1,4,3,0.855837439,69,1.0,0,0.0,0.255228905,0,0,15.527841732,3,2.0988,1
11,2,0,16,69,104,2,4,12,0.903646275,380,0.711420196,1,0.53592295,0.288551704,0,0,35.830850576,29,3.1706,1
14,1,0,16,18,2,8,10,7,0.573547073,151,1.0,2,0.0,0.47435258,0,0,4.85934905,2,1.2982,0
5,1,6,25,18,21,11,8,3,0.991965085,525,0.96719769,0,0.0,0.531610914,0,0,51.643406537,18,3.1515,0
6,3,0,6,8,9,2,5,3,0.666666667,23,1.0,0,0.657261291,0.666666667,0,0,4.730910578,1,0.6445,0
3,2,0,9,13,3,0,7,3,1.998360089,54,0.0,0,0.75,0.556156105,0,0,15.517785299,3,1.6094,0
16,2,0,10,66,12,2,8,11,0.859866752,742,0.688819008,0,0.294676059,0.252862759,0,0,28.398214161,7,2.0389,1
3,1,0,12,28,5,1,11,2,0.505234171,170,1.0,0,0.0,0.51116594,0,0,51.927456755,13,3.6665,0
29,1,0,27,87,417,3,17,21,0.940313831,885,0.586964053,2,0.411312494,0.310971873,0,0,28.589013166,9,1.9631,2
4,1,0,5,2,6,2,4,2,1.991611732,0,0.0,0,0.0,0.726353606,0,0,0.0,1,1.0,0
3,2,0,7,25,3,1,7,1,0.677385105,108,0.933767703,1,0.816934487,0.461338644,1,1,9.645655544,5,0.7476,0
6,1,0,6,21,8,4,9,5,0.123648501,156,0.98828285,0,0.0,0.517362923,0,0,24.289761081,8,3.5102,0
1,1,0,9,2,1,5,2,3,1.995071479,1,0.0,0,0.0,0.75,0,0,1.373514153,1,1.0,0
4,2,0,11,26,4,0,10,5,2.0,154,0.173536558,0,0.666365211,0.487432635,0,0,68.160337353,10,3.8114,0
6,2,0,7,22,9,1,11,1,0.655778684,30,1.0,1,0.536449937,0.39691284,1,2,31.267292171,5,1.4713,0
3,1,1,10,13,11,3,9,2,0.052320389,18,0.859121382,0,0.052265222,0.625782456,0,0,40.6427634,3,2.6721,0
5,2,1,14,20,0,1,11,1,1.914109728,66,0.007572939,1,0.763623324,0.449640896,2,5,59.966049746,11,2.8015,1
1,1,0,3,2,3,2,2,1,2.0,2,0.000180752,0,7.4684e-05,0.979015645,0,0,0.0,1,1.0,0
3,1,0,12,29,5,1,13,2,0.638589534,54,1.0,0,0.0,0.518404877,0,0,62.950907716,12,6.9825,0
4,1,0,4,3,4,3,2,2,2.0,6,0.000738347,0,0.0,0.75,0,0,0.0,1,0.9818,0
2,3,0,9,21,1,1,12,2,2.0,113,0.011902055,0,0.814719397,0.532424874,2,7,24.097742662,4,4.489,0
3,3,0,8,13,3,0,7,3,2.0,47,0.0,0,0.775992418,0.555555556,0,0,14.610815945,3,1.3333,0
4,1,0,29,88,96,9,20,6,0.723937297,120,1.0,0,0.0,0.334421337,0,0,48.25221067,19,3.4319,2
11,1,0,23,35,1,3,12,12,0.470287132,518,0.759778845,0,0.341582077,0.272890898,0,0,22.447588949,9,2.336,1
4,1,4,20,31,8,15,12,5,0.44732857,205,1.0,0,0.0,0.38911788,0,0,12.972780378,4,2.1266,0
12,1,0,33,24,43,1,4,5,2.0,16,0.0,0,0.0,0.260452446,0,0,0.293466654,1,0.9562,0
3,1,0,11,6,3,7,1,3,2.0,1,0.010096211,0,5.1182e-05,0.789993204,0,0,3.43640499,0,1.0,1
4,2,0,12,18,2,0,7,5,0.553977189,128,1.0,0,0.566643472,0.657721248,0,0,11.450087207,5,1.4397,0
8,1,0,4,8,1,1,3,3,0.826322237,29,0.983442652,1,0.0,0.491448651,0,0,10.370046926,2,0.8542,4
2,1,0,4,5,0,4,0,1,1.68760362,86,0.012190792,0,0.0,1.0,0,0,28.938952798,0,0.0156,2
7,1,0,5,31,1,2,0,6,0.246630588,197,1.0,0,0.0,0.218747783,0,0,41.748745,3,1.7996,0
11,1,0,5,11,8,1,3,5,0.826094799,125,1.0,0,0.0,0.473118634,0,0,6.059136722,1,1.034,0
3,1,0,15,69,0,1,18,2,0.426045746,1223,0.970743639,0,0.0,0.213182871,0,0,153.192797718,47,10.2076,0
5,3,0,15,30,4,4,9,9,0.746342344,552,0.833074183,1,0.555249378,0.263112857,1,3,15.430959317,15,0.8922,0
